date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:23:15	38181/38181	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Jul%202018%2010:23:01%20GMT	http://localhost:60754/Batches	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/Batches.html	(from http://localhost:60754/)
17:23:15	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Jul%202018%2010:23:15%20GMT	http://localhost:60754/chartjs.html	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/chartjs.18.delayed	(from http://localhost:60754/)
17:23:15	20760/20760	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Jul%202018%2010:23:06%20GMT	http://localhost:60754/Users	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/Users.html	(from http://localhost:60754/)
17:23:17	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Jul%202018%2010:23:17%20GMT	http://localhost:60754/chartjs2.html	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/chartjs2.19.delayed	(from http://localhost:60754/)
17:23:20	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Jul%202018%2010:23:20%20GMT	http://localhost:60754/morisjs.html	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/morisjs.1a.delayed	(from http://localhost:60754/)
17:23:20	21414/21414	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Jul%202018%2010:23:12%20GMT	http://localhost:60754/Reports/Detail	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/Reports/Detail.html	(from http://localhost:60754/)
17:23:22	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Jul%202018%2010:23:22%20GMT	http://localhost:60754/echarts.html	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/echarts.1b.delayed	(from http://localhost:60754/)
17:23:25	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Jul%202018%2010:23:25%20GMT	http://localhost:60754/other_charts.html	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/other_charts.1c.delayed	(from http://localhost:60754/)
17:23:27	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Jul%202018%2010:23:27%20GMT	http://localhost:60754/e_commerce.html	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/e_commerce.1d.delayed	(from http://localhost:60754/)
17:23:30	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Jul%202018%2010:23:30%20GMT	http://localhost:60754/projects.html	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/projects.1e.delayed	(from http://localhost:60754/)
17:23:32	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Jul%202018%2010:23:32%20GMT	http://localhost:60754/project_detail.html	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/project_detail.1f.delayed	(from http://localhost:60754/)
17:23:35	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Jul%202018%2010:23:35%20GMT	http://localhost:60754/contacts.html	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/contacts.20.delayed	(from http://localhost:60754/)
17:23:37	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Jul%202018%2010:23:37%20GMT	http://localhost:60754/profile.html	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/profile.21.delayed	(from http://localhost:60754/)
